Date,Vibration3H
13/02/2017,183
14/02/2017,182.4705882
15/02/2017,181.9411765
16/02/2017,181.4117647
17/02/2017,180.8823529
18/02/2017,180.3529412
19/02/2017,179.8235294
20/02/2017,179.2941176
21/02/2017,178.7647059
22/02/2017,178.2352941
23/02/2017,177.7058824
24/02/2017,177.1764706
25/02/2017,176.6470588
26/02/2017,176.1176471
27/02/2017,175.5882353
28/02/2017,175.0588235
01/03/2017,174.5294118
02/03/2017,174
03/03/2017,175
04/03/2017,176
05/03/2017,177
06/03/2017,178
07/03/2017,179
08/03/2017,180
09/03/2017,181
10/03/2017,182.1428571
11/03/2017,183.2857143
12/03/2017,184.4285714
13/03/2017,185.5714286
14/03/2017,186.7142857
15/03/2017,187.8571429
16/03/2017,189
17/03/2017,187.5714286
18/03/2017,186.1428571
19/03/2017,184.7142857
20/03/2017,183.2857143
21/03/2017,181.8571429
22/03/2017,180.4285714
23/03/2017,179
24/03/2017,180.2857143
25/03/2017,181.5714286
26/03/2017,182.8571429
27/03/2017,184.1428571
28/03/2017,185.4285714
29/03/2017,186.7142857
30/03/2017,188
31/03/2017,186.8571429
01/04/2017,185.7142857
02/04/2017,184.5714286
03/04/2017,183.4285714
04/04/2017,182.2857143
05/04/2017,181.1428571
06/04/2017,180
07/04/2017,182.5714286
08/04/2017,185.1428571
09/04/2017,187.7142857
10/04/2017,190.2857143
11/04/2017,192.8571429
12/04/2017,195.4285714
13/04/2017,198
14/04/2017,196.7142857
15/04/2017,195.4285714
16/04/2017,194.1428571
17/04/2017,192.8571429
18/04/2017,191.5714286
19/04/2017,190.2857143
20/04/2017,189
21/04/2017,189.25
22/04/2017,189.5
23/04/2017,189.75
24/04/2017,190
25/04/2017,190.25
26/04/2017,190.5
27/04/2017,190.75
28/04/2017,191
29/04/2017,191.25
30/04/2017,191.5
01/05/2017,191.75
02/05/2017,192
03/05/2017,192.25
04/05/2017,192.5
05/05/2017,192.75
06/05/2017,193
07/05/2017,193.25
08/05/2017,193.5
09/05/2017,193.75
10/05/2017,194
11/05/2017,194.25
12/05/2017,194.5
13/05/2017,194.75
14/05/2017,195
15/05/2017,195.25
16/05/2017,195.5
17/05/2017,195.75
18/05/2017,196
19/05/2017,196.2857143
20/05/2017,196.5714286
21/05/2017,196.8571429
22/05/2017,197.1428571
23/05/2017,197.4285714
24/05/2017,197.7142857
25/05/2017,198
26/05/2017,196.8571429
27/05/2017,195.7142857
28/05/2017,194.5714286
29/05/2017,193.4285714
30/05/2017,192.2857143
31/05/2017,191.1428571
01/06/2017,190
02/06/2017,190.1428571
03/06/2017,190.2857143
04/06/2017,190.4285714
05/06/2017,190.5714286
06/06/2017,190.7142857
07/06/2017,190.8571429
08/06/2017,191
09/06/2017,191
10/06/2017,191
11/06/2017,191
12/06/2017,191
13/06/2017,191
14/06/2017,191
15/06/2017,191
16/06/2017,191.0555556
17/06/2017,191.1111111
18/06/2017,191.1666667
19/06/2017,191.2222222
20/06/2017,191.2777778
21/06/2017,191.3333333
22/06/2017,191.3888889
23/06/2017,191.4444444
24/06/2017,191.5
25/06/2017,191.5555556
26/06/2017,191.6111111
27/06/2017,191.6666667
28/06/2017,191.7222222
29/06/2017,191.7777778
30/06/2017,191.8333333
01/07/2017,191.8888889
02/07/2017,191.9444444
03/07/2017,192
04/07/2017,192.2857143
05/07/2017,192.5714286
06/07/2017,192.8571429
07/07/2017,193.1428571
08/07/2017,193.4285714
09/07/2017,193.7142857
10/07/2017,194
11/07/2017,194.5714286
12/07/2017,195.1428571
13/07/2017,195.7142857
14/07/2017,196.2857143
15/07/2017,196.8571429
16/07/2017,197.4285714
17/07/2017,198
18/07/2017,197.1428571
19/07/2017,196.2857143
20/07/2017,195.4285714
21/07/2017,194.5714286
22/07/2017,193.7142857
23/07/2017,192.8571429
24/07/2017,192
25/07/2017,192.2857143
26/07/2017,192.5714286
27/07/2017,192.8571429
28/07/2017,193.1428571
29/07/2017,193.4285714
30/07/2017,193.7142857
31/07/2017,194
01/08/2017,193.8571429
02/08/2017,193.7142857
03/08/2017,193.5714286
04/08/2017,193.4285714
05/08/2017,193.2857143
06/08/2017,193.1428571
07/08/2017,193
08/08/2017,193.1428571
09/08/2017,193.2857143
10/08/2017,193.4285714
11/08/2017,193.5714286
12/08/2017,193.7142857
13/08/2017,193.8571429
14/08/2017,194
15/08/2017,193.5714286
16/08/2017,193.1428571
17/08/2017,192.7142857
18/08/2017,192.2857143
19/08/2017,191.8571429
20/08/2017,191.4285714
22/08/2017,190.4285714
23/08/2017,189.8571429
24/08/2017,189.2857143
25/08/2017,188.7142857
26/08/2017,188.1428571
27/08/2017,187.5714286
28/08/2017,187
29/08/2017,186.4285714
30/08/2017,185.8571429
31/08/2017,185.2857143
01/09/2017,184.7142857
02/09/2017,184.1428571
03/09/2017,183.5714286
04/09/2017,183
05/09/2017,183.7142857
06/09/2017,184.4285714
07/09/2017,185.1428571
08/09/2017,185.8571429
09/09/2017,186.5714286
10/09/2017,187.2857143
11/09/2017,188
12/09/2017,187.7142857
13/09/2017,187.4285714
14/09/2017,187.1428571
15/09/2017,186.8571429
16/09/2017,186.5714286
17/09/2017,186.2857143
18/09/2017,186
19/09/2017,186.5714286
20/09/2017,187.1428571
21/09/2017,187.7142857
22/09/2017,188.2857143
23/09/2017,188.8571429
24/09/2017,189.4285714
25/09/2017,190
