Date,TD1,TD2,DT1,DT2,PR1,PR2
22/06/2016,188.7742557,122.572579,146.7535604,106.0991281,183.3901347,148.8100411
23/06/2016,188.7329701,119.5308279,146.7006941,102.3772081,182.5870688,147.2068868
24/06/2016,188.7001217,118.1643578,146.6504347,101.5548153,182.0991335,147.5785446
25/06/2016,188.6724436,123.7205696,146.600885,102.1395771,183.2730975,146.4279994
26/06/2016,188.6486157,127.066543,146.5515698,103.3571926,185.2653247,145.5377765
27/06/2016,188.6276099,124.8485243,146.5021387,103.6718472,183.5656671,147.3766173
28/06/2016,188.6375785,126.4710117,146.5256483,104.8491153,186.2836514,146.9830103
29/06/2016,188.6503617,127.0829644,146.5505991,104.5199656,186.2640268,146.5741161
30/06/2016,188.6657256,127.698764,146.5769626,104.2260247,186.2353499,146.1642747
01/07/2016,188.6835217,128.5535667,146.6047273,105.5175029,185.6980999,146.9431769
02/07/2016,188.7036575,130.0073201,146.6338912,105.2783462,182.0081337,148.3360371
03/07/2016,188.7260744,129.7160662,146.6644564,105.1870538,185.2845857,146.6342526
04/07/2016,188.7507351,126.4695341,146.696427,105.3430517,186.1639559,147.2260574
05/07/2016,188.7754631,127.1577974,146.7271663,105.7667014,186.4501289,146.953362
06/07/2016,188.800243,127.3890064,146.7566796,104.3857535,187.0418722,146.1013409
07/07/2016,188.8250645,127.613017,146.7849728,103.0179199,187.6256984,145.2552386
08/07/2016,188.8499204,128.1411281,146.8120513,104.0085176,186.7301966,145.7390343
09/07/2016,188.874806,125.4721617,146.8379209,102.7059514,185.8916317,146.1747535
10/07/2016,188.8997174,127.61075,146.862587,102.3221723,184.7138669,146.8615208
11/07/2016,188.9246519,128.9606109,146.8860552,103.430262,186.8034006,145.4725731
12/07/2016,188.9496069,129.3407484,146.9083309,105.1457591,187.8814999,145.7290917
13/07/2016,188.9745804,133.8813646,146.9294192,104.8026075,190.6888136,143.2147623
14/07/2016,188.9995707,133.6965243,146.9493254,104.3078738,190.1182182,143.5292378
15/07/2016,189.024576,133.2663725,146.9680546,103.1789506,189.7017241,143.6139457
16/07/2016,189.164674,133.0034436,146.9141834,103.4634904,188.5988291,143.2611388
17/07/2016,189.3047839,131.6839367,146.8591452,101.716984,187.1574637,143.2783972
18/07/2016,189.4441299,130.2720393,146.8029746,101.9599718,186.7146564,143.6858208
19/07/2016,189.583689,127.555279,146.746557,101.6250667,187.0220818,144.2689139
20/07/2016,189.7234598,126.7648404,146.6898972,100.7132487,186.8159339,144.3473914
21/07/2016,189.8634409,127.9378121,146.6329997,101.0509028,188.8856768,143.7594232
22/07/2016,190.0036309,129.004869,146.5758692,101.3838639,188.4908798,143.8012434
23/07/2016,190.2868857,129.8969247,146.8042243,102.4079542,188.3422855,144.1696574
24/07/2016,190.5703466,131.0313669,147.0323552,102.4274368,188.9359952,143.5344465
25/07/2016,190.8540124,130.4778404,147.2602661,103.854783,186.3868253,145.599973
26/07/2016,191.1359249,131.9361449,147.4873742,104.9067044,187.9993941,145.23278
27/07/2016,191.4160828,133.9415197,147.7136837,104.9744921,188.5007487,144.640439
28/07/2016,191.6944848,134.3455587,147.9391987,104.52265,187.8091496,144.2679212
29/07/2016,191.9711296,133.8967741,148.1639232,103.6276095,186.2757655,144.2918226
30/07/2016,191.5317304,128.1781787,148.1021469,101.6054178,186.0380159,144.1794577
31/07/2016,191.0905716,129.2438271,148.0395879,101.9273615,187.030907,144.7951626
01/08/2016,190.7701009,125.7458831,148.0629848,100.70845,187.2524948,145.2314773
02/08/2016,190.4490425,125.5654001,148.085998,99.90523978,185.7638136,145.6011107
03/08/2016,190.1273951,127.4434215,148.1086312,99.07342454,186.799863,144.7674948
04/08/2016,189.8051577,131.8126033,148.1308881,101.6677615,189.1028852,143.2258456
05/08/2016,189.4823289,127.7423537,148.1527722,98.87585549,187.2233366,142.9771475
06/08/2016,189.7303363,128.9131068,148.1742871,100.8363045,190.1545416,143.3585199
07/08/2016,189.9777503,132.3200156,148.195436,101.1502818,189.2944731,142.7583755
08/08/2016,190.2245696,128.9296203,148.2162226,100.2623965,191.2601548,142.0212727
09/08/2016,190.4722521,130.7182907,148.2372195,100.5854247,191.5581054,142.0089099
10/08/2016,190.7207967,132.5015225,148.2584298,100.9086023,191.8539119,141.9992412
11/08/2016,190.9702024,134.7457102,148.2798568,102.863487,191.8241862,142.7142978
12/08/2016,191.2204681,130.512044,148.3015037,100.2505163,190.3006872,142.6646928
13/08/2016,191.257307,132.5828507,148.4662307,100.4362974,187.7486023,143.0736676
14/08/2016,191.2950039,133.4597662,148.6311838,100.2189165,189.4669399,142.8836368
15/08/2016,191.2392355,131.7787734,148.8018605,99.19651031,188.4525863,142.8350536
16/08/2016,191.184323,132.0721745,148.9727691,98.92622156,186.4541318,142.9281779
17/08/2016,191.1302656,133.1601925,149.1439128,98.95949906,186.9008918,142.8334465
18/08/2016,191.0770622,129.0772093,149.3152942,98.99888104,186.0596453,143.6014718
19/08/2016,191.0247119,128.9597529,149.4869162,99.03742207,186.3570177,144.1887688
20/08/2016,191.1142208,131.0079475,149.5867836,101.9937218,189.4087975,143.4539456
21/08/2016,191.2027308,132.0196503,149.6863279,99.80395235,188.7877532,142.8997149
22/08/2016,191.2902409,132.9801274,149.7855517,101.1507108,189.3956492,142.5169176
