Date,TD1,TD2,DT1,DT2,PR1,PR2
13/02/2017,183,129,158,99,199.81,134.2319625
14/02/2017,182.4705882,128.5294118,157.7647059,98.88235294,199.81,135.8467288
15/02/2017,181.9411765,128.0588235,157.5294118,98.76470588,199.81,136.088474
16/02/2017,181.4117647,127.5882353,157.2941176,98.64705882,199.81,134.8188677
17/02/2017,180.8823529,127.1176471,157.0588235,98.52941176,199.81,135.7004562
18/02/2017,180.3529412,126.6470588,156.8235294,98.41176471,199.81,136.5820448
19/02/2017,179.8235294,126.1764706,156.5882353,98.29411765,199.81,137.4636333
20/02/2017,179.2941176,125.7058824,156.3529412,98.17647059,199.81,138.3452218
21/02/2017,178.7647059,125.2352941,156.1176471,98.05882353,199.81,137.216845
22/02/2017,178.2352941,124.7647059,155.8823529,97.94117647,199.81,137.9702434
23/02/2017,177.7058824,124.2941176,155.6470588,97.82352941,199.81,137.028014
24/02/2017,177.1764706,123.8235294,155.4117647,97.70588235,199.81,136.902417
25/02/2017,176.6470588,123.3529412,155.1764706,97.58823529,199.81,136.77682
26/02/2017,176.1176471,122.8823529,154.9411765,97.47058824,199.81,136.651223
27/02/2017,175.5882353,122.4117647,154.7058824,97.35294118,199.81,136.525626
28/02/2017,175.0588235,121.9411765,154.4705882,97.23529412,199.81,137.0603324
1/3/2017,174.5294118,121.4705882,154.2352941,97.11764706,199.81,138.4137609
2/3/2017,174,121,154,97,199.81,138.3688011
3/3/2017,175,122.2857143,153.8571429,97.14285714,199.81,138.7009655
4/3/2017,176,123.5714286,153.7142857,97.28571429,199.81,139.0331299
5/3/2017,177,124.8571429,153.5714286,97.42857143,199.81,139.3652943
6/3/2017,178,126.1428571,153.4285714,97.57142857,199.81,139.6974587
7/3/2017,179,127.4285714,153.2857143,97.71428571,199.81,137.9096317
8/3/2017,180,128.7142857,153.1428571,97.85714286,199.81,140.1167811
9/3/2017,181,130,153,98,199.81,139.6841136
10/3/2017,182.1428571,131.5714286,153.7142857,99,199.81,138.8927499
11/3/2017,183.2857143,133.1428571,154.4285714,100,199.81,138.1013862
12/3/2017,184.4285714,134.7142857,155.1428571,101,199.81,137.3100225
13/03/2017,185.5714286,136.2857143,155.8571429,102,199.81,136.5186588
14/03/2017,186.7142857,137.8571429,156.5714286,103,199.81,137.8978734
15/03/2017,187.8571429,139.4285714,157.2857143,104,199.81,138.5542144
16/03/2017,189,141,158,105,199.81,138.063327
17/03/2017,187.5714286,138.7142857,157.4285714,103.5714286,199.81,137.5724395
18/03/2017,186.1428571,136.4285714,156.8571429,102.1428571,199.81,137.0815521
19/03/2017,184.7142857,134.1428571,156.2857143,100.7142857,199.81,136.5906646
20/03/2017,183.2857143,131.8571429,155.7142857,99.28571429,199.81,136.0997772
21/03/2017,181.8571429,129.5714286,155.1428571,97.85714286,199.81,138.1915405
22/03/2017,180.4285714,127.2857143,154.5714286,96.42857143,199.81,139.5407236
23/03/2017,179,125,154,95,199.81,139.8446521
24/03/2017,180.2857143,126.2857143,154,95.28571429,198.9771429,139.5013278
25/03/2017,181.5714286,127.5714286,154,95.57142857,198.1442857,139.1580035
26/03/2017,182.8571429,128.8571429,154,95.85714286,197.3114286,138.8146791
27/03/2017,184.1428571,130.1428571,154,96.14285714,196.4785714,138.4713548
28/03/2017,185.4285714,131.4285714,154,96.42857143,195.6457143,139.9489327
29/03/2017,186.7142857,132.7142857,154,96.71428571,194.8128571,139.820763
30/03/2017,188,134,154,97,193.98,141.4422484
31/03/2017,186.8571429,133,153.8571429,96.85714286,193.98,140.7768233
1/4/2017,185.7142857,132,153.7142857,96.71428571,193.98,140.1113982
2/4/2017,184.5714286,131,153.5714286,96.57142857,193.98,139.445973
3/4/2017,183.4285714,130,153.4285714,96.42857143,193.98,138.7805479
4/4/2017,182.2857143,129,153.2857143,96.28571429,193.98,139.1915967
5/4/2017,181.1428571,128,153.1428571,96.14285714,193.98,139.2607402
6/4/2017,180,127,153,96,193.98,140.1260967
7/4/2017,182.5714286,130.2857143,153.4285714,97,193.98,142.9339215
8/4/2017,185.1428571,133.5714286,153.8571429,98,193.98,145.7417463
9/4/2017,187.7142857,136.8571429,154.2857143,99,193.98,148.5495711
10/4/2017,190.2857143,140.1428571,154.7142857,100,193.98,151.3573959
11/4/2017,192.8571429,143.4285714,155.1428571,101,193.98,138.407974
12/4/2017,195.4285714,146.7142857,155.5714286,102,193.98,140.1702209
13/04/2017,198,150,156,103,193.98,138.711574
14/04/2017,196.7142857,148.5714286,155.7142857,102.5714286,193.98,139.2314507
15/04/2017,195.4285714,147.1428571,155.4285714,102.1428571,193.98,139.7513274
16/04/2017,194.1428571,145.7142857,155.1428571,101.7142857,193.98,140.271204
17/04/2017,192.8571429,144.2857143,154.8571429,101.2857143,193.98,140.7910807
18/04/2017,191.5714286,142.8571429,154.5714286,100.8571429,193.98,141.3109574
19/04/2017,190.2857143,141.4285714,154.2857143,100.4285714,193.98,140.4460481
20/04/2017,189,140,154,100,193.98,139.9385635
21/04/2017,189.25,140.2857143,154.0357143,100.0714286,193.98,140.2254202
22/04/2017,189.5,140.5714286,154.0714286,100.1428571,193.98,140.512277
23/04/2017,189.75,140.8571429,154.1071429,100.2142857,193.98,140.7991337
24/04/2017,190,141.1428571,154.1428571,100.2857143,193.98,141.0859904
25/04/2017,190.25,141.4285714,154.1785714,100.3571429,193.98,140.126161
26/04/2017,190.5,141.7142857,154.2142857,100.4285714,193.98,139.3874166
27/04/2017,190.75,142,154.25,100.5,193.98,141.4517721
28/04/2017,191,142.2857143,154.2857143,100.5714286,193.98,140.7743253
29/04/2017,191.25,142.5714286,154.3214286,100.6428571,193.98,140.0968785
30/04/2017,191.5,142.8571429,154.3571429,100.7142857,193.98,139.4194318
1/5/2017,191.75,143.1428571,154.3928571,100.7857143,193.98,138.741985
2/5/2017,192,143.4285714,154.4285714,100.8571429,193.98,139.936812
3/5/2017,192.25,143.7142857,154.4642857,100.9285714,193.98,138.1187764
4/5/2017,192.5,144,154.5,101,193.98,138.8712816
5/5/2017,192.75,144.2857143,154.5357143,101.0714286,193.98,138.790717
6/5/2017,193,144.5714286,154.5714286,101.1428571,193.98,138.7101524
7/5/2017,193.25,144.8571429,154.6071429,101.2142857,193.98,138.6295877
8/5/2017,193.5,145.1428571,154.6428571,101.2857143,193.98,138.5490231
9/5/2017,193.75,145.4285714,154.6785714,101.3571429,193.98,139.4598071
10/5/2017,194,145.7142857,154.7142857,101.4285714,193.98,139.1190227
11/5/2017,194.25,146,154.75,101.5,193.98,140.7885215
12/5/2017,194.5,146.2857143,154.7857143,101.5714286,193.98,140.5489478
13/05/2017,194.75,146.5714286,154.8214286,101.6428571,193.98,140.3093742
14/05/2017,195,146.8571429,154.8571429,101.7142857,193.98,140.0698005
15/05/2017,195.25,147.1428571,154.8928571,101.7857143,193.98,139.8302268
16/05/2017,195.5,147.4285714,154.9285714,101.8571429,193.98,140.2055094
17/05/2017,195.75,147.7142857,154.9642857,101.9285714,193.98,139.6461607
18/05/2017,196,148,155,102,193.98,139.6367869
19/05/2017,196.2857143,147.7142857,154.8571429,101.4285714,193.98,139.4877014
20/05/2017,196.5714286,147.4285714,154.7142857,100.8571429,193.98,140.1406166
21/05/2017,196.8571429,147.1428571,154.5714286,100.2857143,193.98,139.1562515
22/05/2017,197.1428571,146.8571429,154.4285714,99.71428571,193.98,140.2494822
23/05/2017,197.4285714,146.5714286,154.2857143,99.14285714,193.98,140.976242
24/05/2017,197.7142857,146.2857143,154.1428571,98.57142857,193.98,140.4805981
25/05/2017,198,146,154,98,193.98,141.3293163
26/05/2017,196.8571429,145.2857143,153.8571429,98.42857143,193.98,141.1423321
27/05/2017,195.7142857,144.5714286,153.7142857,98.85714286,193.98,140.9553479
